00:50:C2:2D:B0:00/36	AutoTOOL	AutoTOOLS group Co. Ltd.
00:50:C2:2D:C0:00/36	WienerPl	Wiener, Plein & Baus GmbH
00:50:C2:2D:D0:00/36	WestekTe	Westek Technology Ltd
00:50:C2:2D:E0:00/36	Research	Research Applications
00:50:C2:2D:F0:00/36	Micrel-N	Micrel-Nke
00:50:C2:2E:00:00/36	BaxterIn	Baxter International Inc
00:50:C2:2E:10:00/36	AccessIS	Access IS
00:50:C2:2E:20:00/36	BallardT	Ballard Technology, Inc,
00:50:C2:2E:30:00/36	MGIndust	MG Industrieelektronik GmbH
00:50:C2:2E:40:00/36	iamba	iamba LTD.
00:50:C2:2E:50:00/36	Transtec	Transtech DSP
00:50:C2:2E:60:00/36	Dalsa
00:50:C2:2E:70:00/36	SafeView	SafeView, Inc.
00:50:C2:2E:80:00/36	SMVSyste	S.M.V. Systemelektronik GmbH
00:50:C2:2E:90:00/36	SRIInter	SRI International
00:50:C2:2E:A0:00/36	QUBIsoft	QUBIsoft S.r.l.
00:50:C2:2E:B0:00/36	LinggJan	Lingg & Janke OHG
00:50:C2:2E:C0:00/36	ChengduB	Chengdu Book Digital Co., Ltd
00:50:C2:2E:D0:00/36	4RFCommu	4RF Communications Ltd
00:50:C2:2E:E0:00/36	SHFCommu	SHF Communication Technologies AG
00:50:C2:2E:F0:00/36	Profline	Profline B.V.
00:50:C2:2F:00:00/36	LECO	LECO Corporation
00:50:C2:2F:10:00/36	Geometri	Geometrics, Inc.
00:50:C2:2F:20:00/36	Eurotek	Eurotek Srl
00:50:C2:2F:30:00/36	Crossbow	Crossbow Technology, Inc.
00:50:C2:2F:40:00/36	Efficien	Efficient Channel Coding
00:50:C2:2F:50:00/36	ADChips
00:50:C2:2F:60:00/36	Clifford	Clifford Chance LLP
00:50:C2:2F:70:00/36	Gillam-F	Gillam-Fei S.A.
00:50:C2:2F:80:00/36	SavvyCor	SavvyCorp.com Ltd
00:50:C2:2F:90:00/36	Digilent	Digilent Inc.
00:50:C2:2F:A0:00/36	TornadoM	Tornado Modular Systems, Ltd
00:50:C2:2F:B0:00/36	ArthurIn	Arthur Industries Inc., dba On Hold Media Group
00:50:C2:2F:C0:00/36	Blacklin	Blackline Systems Corporation
00:50:C2:2F:D0:00/36	American	American Microsystems, Ltd.
00:50:C2:2F:E0:00/36	Saab	Saab AB
00:50:C2:2F:F0:00/36	PatriaAd	Patria Advanced Solutions
00:50:C2:30:00:00/36	SoredexI	Soredex Instrumentarium Oyj
00:50:C2:30:10:00/36	DelphiDi	Delphi Display Systems, Inc.
00:50:C2:30:20:00/36	EuroDesi	EuroDesign embedded technologies GmbH
00:50:C2:30:30:00/36	CI	CI Systems Ltd.
00:50:C2:30:40:00/36	COMERSON	COMERSON S.r.l.
00:50:C2:30:50:00/36	Symbium	Symbium Corporation
00:50:C2:30:60:00/36	NoranTel	Noran Tel Communications Ltd.
00:50:C2:30:70:00/36	Uniondig	Uniondigital.,Co.Ltd
00:50:C2:30:80:00/36	FiveCo
00:50:C2:30:90:00/36	Rackmast	Rackmaster Systems, Inc.
00:50:C2:30:A0:00/36	InningsT	Innings Telecom Inc.
00:50:C2:30:B0:00/36	VXTechno	VX Technologies Inc.
00:50:C2:30:C0:00/36	Teamlog
00:50:C2:30:D0:00/36	Setaram
00:50:C2:30:E0:00/36	Obvius
00:50:C2:30:F0:00/36	Digicont	Digicontrole Lda
00:50:C2:31:00:00/36	Cybertro	Cybertron Co., Ltd.
00:50:C2:31:10:00/36	Comodo
00:50:C2:31:20:00/36	DeseTech	Dese Technologies SL
00:50:C2:31:30:00/36	SAIABurg	SAIA Burgess Controls AG
00:50:C2:31:40:00/36	MicroBee	MicroBee Systems, Inc
00:50:C2:31:50:00/36	ifaksyst	ifak system GmbH
00:50:C2:31:60:00/36	Dataline	Dataline AB
00:50:C2:31:70:00/36	Cosine	Cosine Systems, Inc.
00:50:C2:31:80:00/36	Milmega	Milmega Ltd
00:50:C2:31:90:00/36	Invatron	Invatron Systems Corp.
00:50:C2:31:A0:00/36	ZodiakDa	Zodiak Data Systems
00:50:C2:31:B0:00/36	Datacon
00:50:C2:31:C0:00/36	Casa	Casa Systems Inc.
00:50:C2:31:D0:00/36	ImardaNe	Imarda New Zealand Limited
00:50:C2:31:E0:00/36	C3-ilex	C3-ilex, LLC
00:50:C2:31:F0:00/36	GeotechI	Geotech Instruments, LLC
00:50:C2:32:00:00/36	DTASENSO	DTASENSOR S.p.A.
00:50:C2:32:10:00/36	Uxp
00:50:C2:32:20:00/36	BQTSolut	BQT Solutions (Australia) Limited
00:50:C2:32:30:00/36	RedRockN	Red Rock Networks
00:50:C2:32:40:00/36	Odixion
00:50:C2:32:50:00/36	FederalA	Federal Aviation Administration
00:50:C2:32:60:00/36	Navionic	Navionics S.p.A.
00:50:C2:32:70:00/36	Dornier	Dornier GmbH
00:50:C2:32:80:00/36	ICSElect	I.C.S. Electronics Limited
00:50:C2:32:90:00/36	Imax
00:50:C2:32:A0:00/36	PhytecMe	Phytec Messtechnik GmbH
00:50:C2:32:B0:00/36	DigitalM	Digital Multimedia Technologies Spa
00:50:C2:32:C0:00/36	Integrat	Integrated Silicon Solution (Taiwan), Inc.
00:50:C2:32:D0:00/36	ConsensZ	Consens Zeiterfassung GMBH
00:50:C2:32:E0:00/36	Manusa-G	Manusa-Gest, S.L.
00:50:C2:32:F0:00/36	Pultroni	Pultronics
00:50:C2:33:00:00/36	Sicon	Sicon srl
00:50:C2:33:10:00/36	Broadcas	Broadcast Sports Inc
00:50:C2:33:20:00/36	PunjabCo	Punjab Communications Ltd
00:50:C2:33:30:00/36	Radix	Radix Corporation
00:50:C2:33:40:00/36	PictureE	Picture Elements, Inc.
00:50:C2:33:50:00/36	NimcatNe	Nimcat Networks
00:50:C2:33:60:00/36	GoldenRi	Golden River Traffic
00:50:C2:33:70:00/36	Eti
00:50:C2:33:80:00/36	Ernitec	Ernitec A/S
00:50:C2:33:90:00/36	SecureSe	Secure Systems & Services
00:50:C2:33:A0:00/36	UnitedTe	United Telecoms Ltd
00:50:C2:33:B0:00/36	Multimed	MultimediaLED
00:50:C2:33:C0:00/36	SkipJam
00:50:C2:33:D0:00/36	GDMissio	GD Mission Systems
00:50:C2:33:E0:00/36	CATechno	CA Technology, Inc
00:50:C2:33:F0:00/36	EXYSbvba	EXYS bvba
00:50:C2:34:00:00/36	Virtu
00:50:C2:34:10:00/36	Novx	Novx Systems
00:50:C2:34:20:00/36	StMichae	St. Michael Strategies
00:50:C2:34:30:00/36	ABBXiame	ABB Xiamen Switchgear Co. Ltd.
00:50:C2:34:40:00/36	ads-tec	ads-tec GmbH
00:50:C2:34:50:00/36	Act
00:50:C2:34:60:00/36	biokeysy	biokeysystem
00:50:C2:34:70:00/36	RowSeven	Row Seven Ltd
00:50:C2:34:80:00/36	KoolSpan	KoolSpan, Inc.
00:50:C2:34:90:00/36	SSISchae	SSI Schaefer Peem
00:50:C2:34:A0:00/36	NIE	NIE Corporation
00:50:C2:34:B0:00/36	Ecutel	Ecutel Systems, Inc.
00:50:C2:34:C0:00/36	ChuoElec	Chuo Electric Works Co., LTD.
00:50:C2:34:D0:00/36	BMKprofe	BMK professional electronics GmbH
00:50:C2:34:E0:00/36	ABBPower	ABB Power Technologies S.p.A. Unità Operativa SACE (PTMV)
00:50:C2:34:F0:00/36	NorthPol	North Pole Engineering, Inc.
00:50:C2:35:00:00/36	KinesysP	Kinesys Projects Limited
00:50:C2:35:10:00/36	Finesyst	Finesystem Co., Ltd
00:50:C2:35:20:00/36	Luceo
00:50:C2:35:30:00/36	Crossing	Crossing Informationssysteme GmbH
00:50:C2:35:40:00/36	Advanced	Advanced IP Communications
00:50:C2:35:50:00/36	Ihm
00:50:C2:35:60:00/36	BaytechC	Baytech Cinema
00:50:C2:35:70:00/36	AthenaSe	Athena Semiconductor
00:50:C2:35:80:00/36	Alcea
00:50:C2:35:90:00/36	KramerEl	Kramer Electronics Ltd.
00:50:C2:35:A0:00/36	Advanced	Advanced Si-Net Co., LTD.
00:50:C2:35:B0:00/36	VlsipTec	Vlsip Technologies, Inc
00:50:C2:35:C0:00/36	Ratotec	Ratotec GmbH
00:50:C2:35:D0:00/36	NetTest	NetTest A/S
00:50:C2:35:E0:00/36	JobinYvo	Jobin Yvon,Inc
00:50:C2:35:F0:00/36	FImm	F.Imm. S.r.L.
00:50:C2:36:00:00/36	DigitalR	Digital Receiver Technology
00:50:C2:36:10:00/36	Contec
00:50:C2:36:20:00/36	AZDPraha	AZD Praha s.r.o.
00:50:C2:36:30:00/36	Septentr	Septentrio nv/sa
00:50:C2:36:40:00/36	Tattile	Tattile srl
00:50:C2:36:50:00/36	Vpg
00:50:C2:36:60:00/36	Vanguard	Vanguard Technology Corp.
00:50:C2:36:70:00/36	CANMAXTe	CANMAX Technology Ltd.
00:50:C2:36:80:00/36	Aspel	Aspel S.A.
00:50:C2:36:90:00/36	AlwaysOn	Always On Wireless
00:50:C2:36:A0:00/36	Optronic	Optronic Partner pr AB
00:50:C2:36:B0:00/36	MinervaT	Minerva Technology Inc
00:50:C2:36:C0:00/36	RISCOGro	RISCO Group
00:50:C2:36:D0:00/36	OplinkCo	Oplink Communications
00:50:C2:36:E0:00/36	MinicomA	Minicom Advanced Systems Ltd
00:50:C2:36:F0:00/36	XIMEAsro	XIMEA s.r.o.
00:50:C2:37:00:00/36	EuropeTe	Europe Technologies
00:50:C2:37:10:00/36	DigitalA	Digital Art System
00:50:C2:37:20:00/36	ELVElekt	ELV Elektronik AG
00:50:C2:37:30:00/36	Companio	Companion Worlds, inc.
00:50:C2:37:40:00/36	OwasysAd	Owasys Advanced Wireless Devices
00:50:C2:37:50:00/36	TIR	TIR Systems Ltd.
00:50:C2:37:60:00/36	Cleode
00:50:C2:37:70:00/36	XycomVME	Xycom VME
00:50:C2:37:80:00/36	Daintree	Daintree Networks Pty
00:50:C2:37:90:00/36	ControlL	Control LAN S.A.
00:50:C2:37:A0:00/36	IDA	IDA Corporation
00:50:C2:37:B0:00/36	Freescal	Freescale Semiconductor
00:50:C2:37:C0:00/36	MODIA	MODIA SYSTEMS Co., Ltd
00:50:C2:37:D0:00/36	VeroTrak	VeroTrak Inc.
00:50:C2:37:E0:00/36	Ni	Ni.Co. S.r.l.
00:50:C2:37:F0:00/36	Foresear	Foresearch
00:50:C2:38:00:00/36	EKE-Elec	EKE-Electronics Ltd.
00:50:C2:38:10:00/36	Realtime	Realtime Engineering AG
00:50:C2:38:20:00/36	Colorado	Colorado vNet
00:50:C2:38:30:00/36	ICSElect	ICS Electronics
00:50:C2:38:40:00/36	Wireless	Wireless Reading Systems Holding ASA
00:50:C2:38:50:00/36	SUNGJINN	SUNGJIN NEOTECH Co.Ltd.
00:50:C2:38:60:00/36	Precisio	Precision System Science Co.,Ltd
00:50:C2:38:70:00/36	Inoteska	Inoteska s.r.o.
00:50:C2:38:80:00/36	IEE	IEE Inc
00:50:C2:38:90:00/36	Exavio	Exavio Inc.
00:50:C2:38:A0:00/36	Embedtro	Embedtronics Enterprise
00:50:C2:38:B0:00/36	InterBri	InterBridge,Inc.
00:50:C2:38:C0:00/36	Epsilon	Epsilon Srl
00:50:C2:38:D0:00/36	A&GSoluz	A&G Soluzioni Digitali
00:50:C2:38:E0:00/36	NordicAl	Nordic Alarm AB
00:50:C2:38:F0:00/36	TTCTelec	TTC Telecom
00:50:C2:39:00:00/36	TCCommun	TC Communications
00:50:C2:39:10:00/36	Esensors	Esensors, Inc.
00:50:C2:39:20:00/36	PhytecMe	Phytec Messtechnik GmbH
00:50:C2:39:30:00/36	SYSTECel	SYS TEC electronic GmbH
00:50:C2:39:40:00/36	Embedit	Embedit A/S
00:50:C2:39:50:00/36	vidisys	vidisys gmbh
00:50:C2:39:60:00/36	RapidWav	RapidWave Inc.
00:50:C2:39:70:00/36	MANGODSP	MANGO DSP Ltd.
00:50:C2:39:80:00/36	InhandEl	Inhand Electronics, Inc.
00:50:C2:39:90:00/36	Advanced	Advanced Micro Controls Inc.
00:50:C2:39:A0:00/36	OpticalA	Optical Air Data Systems
00:50:C2:39:B0:00/36	YUYAMAMF	YUYAMA MFG Co.,Ltd
00:50:C2:39:C0:00/36	TiyodaMf	Tiyoda Mfg Co.,Ltd.
00:50:C2:39:D0:00/36	DigitalD	DigitalDeck, Inc.
00:50:C2:39:E0:00/36	ARGElect	A.R.G ElectroDesign Ltd
00:50:C2:39:F0:00/36	Isensix
00:50:C2:3A:00:00/36	StreetFi	StreetFire Sound Labs, LLC
00:50:C2:3A:10:00/36	Samsoft
00:50:C2:3A:20:00/36	VegasAmu	Vegas Amusement
00:50:C2:3A:30:00/36	StarLink	Star Link Communication Pvt. Ltd.
00:50:C2:3A:40:00/36	Silvertr	Silvertree Engineering Ltd
00:50:C2:3A:50:00/36	LabJack	LabJack Corporation
00:50:C2:3A:60:00/36	IntelliD	IntelliDesign Pty Ltd
00:50:C2:3A:70:00/36	Elektrot	Elektrotechnik & Elektronik Oltmann GmbH
00:50:C2:3A:80:00/36	Engim	Engim, Inc.
00:50:C2:3A:90:00/36	Westroni	Westronic Systems Inc.
00:50:C2:3A:A0:00/36	Networke	Networked Robotics Corporation
00:50:C2:3A:B0:00/36	taskitRe	taskit Rechnertechnik GmbH
00:50:C2:3A:C0:00/36	InAccess	InAccess Networks
00:50:C2:3A:D0:00/36	SpirentC	Spirent Communications (Scotland) Limited
00:50:C2:3A:E0:00/36	HankukTa	Hankuk Tapi Computer Co., Ltd
00:50:C2:3A:F0:00/36	NorbitOD	Norbit ODM AS
00:50:C2:3B:00:00/36	Microtar	Microtarget Tecnologia Digital Ltda.
00:50:C2:3B:10:00/36	Specstro	Specstroy-Svyaz Ltd
00:50:C2:3B:20:00/36	Tennesse	Tennessee Valley Authority
00:50:C2:3B:30:00/36	MediaLab	Media Lab., Inc.
00:50:C2:3B:40:00/36	Contrôle	Contrôle Analytique inc.
00:50:C2:3B:50:00/36	NECTOKIN	NEC TOKIN Corporation
00:50:C2:3B:60:00/36	ArecontV	Arecont Vision
00:50:C2:3B:70:00/36	Mindspee	Mindspeed Technologies
00:50:C2:3B:80:00/36	KeithKoe	Keith & Koep GmbH
00:50:C2:3B:90:00/36	Gilbarco	Gilbarco Autotank AB
00:50:C2:3B:A0:00/36	PhytecMe	Phytec Messtechnik GmbH
00:50:C2:3B:B0:00/36	IMAGOTec	IMAGO Technologies GmbH
00:50:C2:3B:C0:00/36	Tyzx	Tyzx, Inc.
00:50:C2:3B:D0:00/36	BigbangL	Bigbang L.T.D.
00:50:C2:3B:E0:00/36	PaulySte	Pauly Steuer- und Regelanlagen GmbH & Co. KG
00:50:C2:3B:F0:00/36	AudioPro	Audio Processing Technology Ltd
00:50:C2:3C:00:00/36	EDAIndus	EDA Industries Pte. Ltd
00:50:C2:3C:10:00/36	MicroTek	MicroTek Electronics, Inc.
00:50:C2:3C:20:00/36	Casabyte	Casabyte Inc.
00:50:C2:3C:30:00/36	4gTechno	4g Technologies, L.P.
00:50:C2:3C:40:00/36	SyprisEl	Sypris Electronics
00:50:C2:3C:50:00/36	SiliconO	Silicon Optix Canada Inc.
00:50:C2:3C:60:00/36	NetOptic	Net Optics
00:50:C2:3C:70:00/36	SalentTe	Salent Technologies Ltd
00:50:C2:3C:80:00/36	WheelsZe	Wheels of Zeus Inc.
00:50:C2:3C:90:00/36	DilaxInt	Dilax Intelcom AG
00:50:C2:3C:A0:00/36	ABB	ABB Inc.
00:50:C2:3C:B0:00/36	Analytic	Analytica GmbH
00:50:C2:3C:C0:00/36	Linkwell	Linkwell Telesystems Pvt Ltd
00:50:C2:3C:D0:00/36	Micro-Me	Micro-Measurements
00:50:C2:3C:E0:00/36	WardLeon	Ward Leonard Electric Company
00:50:C2:3C:F0:00/36	Technova	Technovare Systems, Inc.
00:50:C2:3D:00:00/36	Micro-Ro	Micro-Robotics Limited
00:50:C2:3D:10:00/36	Braintro	Braintronics BV
00:50:C2:3D:20:00/36	AdilecEn	Adilec Enginyeria SL
00:50:C2:3D:30:00/36	American	American LED-gible Inc.
00:50:C2:3D:40:00/36	Wisnuand	Wisnu and Supak Co.,Ltd.
00:50:C2:3D:50:00/36	FlukeBio	Fluke Biomedical, Radiation Management Services
00:50:C2:3D:60:00/36	Comlab	Comlab Inc.
00:50:C2:3D:70:00/36	TTCTELEK	TTC TELEKOMUNIKACE Ltd
00:50:C2:3D:80:00/36	Key	Key Systems , Inc.
00:50:C2:3D:90:00/36	BavariaD	Bavaria Digital Technik GmbH
00:50:C2:3D:A0:00/36	M5Data	M5 Data Limited
00:50:C2:3D:B0:00/36	Osmetech	Osmetech Inc.
00:50:C2:3D:C0:00/36	3Dpercep	3D perception
00:50:C2:3D:D0:00/36	ELMIC	ELMIC GmbH
00:50:C2:3D:E0:00/36	ABBPower	ABB Power Technologies S.p.A. Unità Operativa SACE (PTMV)
00:50:C2:3D:F0:00/36	BiODE	BiODE Inc.
00:50:C2:3E:00:00/36	Stinghor	Oy Stinghorn Ltd
00:50:C2:3E:10:00/36	NeuLion	NeuLion Incorporated
00:50:C2:3E:20:00/36	SysNova
00:50:C2:3E:30:00/36	CSIRO-Di	CSIRO - Division of Exploration and Mining
00:50:C2:3E:40:00/36	CUE	CUE, a.s.
00:50:C2:3E:50:00/36	Vacon	Vacon Plc
00:50:C2:3E:60:00/36	Crde
00:50:C2:3E:70:00/36	Revoluti	Revolution Education Ltd
00:50:C2:3E:80:00/36	Conforma	Conformative Systems, Inc.
00:50:C2:3E:90:00/36	MedAvant	MedAvant Healthcare
00:50:C2:3E:A0:00/36	AlroInfo	Alro Information Systems SA
00:50:C2:3E:B0:00/36	ISSInter	ISS International
00:50:C2:3E:C0:00/36	Teneros
00:50:C2:3E:D0:00/36	BoardRoo	The Board Room Inc.
00:50:C2:3E:E0:00/36	Commoca	Commoca, Inc
00:50:C2:3E:F0:00/36	PATIndus	PAT Industries, DBA Pacific Advanced Technology
00:50:C2:3F:00:00/36	megatece	megatec electronic GmbH
00:50:C2:3F:10:00/36	SallandE	Salland Electronics Holding BV
00:50:C2:3F:20:00/36	STL	STL GmbH
00:50:C2:3F:30:00/36	HitachiE	Hitachi Energy
00:50:C2:3F:40:00/36	MCTECHNO	MC TECHNOLOGY GmbH
00:50:C2:3F:50:00/36	Phaedrus	Phaedrus Limited
00:50:C2:3F:60:00/36	dAFTdATA	dAFTdATA Limited
00:50:C2:3F:70:00/36	Advantag	Advantage R&D
00:50:C2:3F:80:00/36	Superna	Superna Ltd
00:50:C2:3F:90:00/36	Sintium	Sintium Ltd
00:50:C2:3F:A0:00/36	Tumsan
00:50:C2:3F:B0:00/36	nVentSch	nVent, Schroff GmbH
00:50:C2:3F:C0:00/36	Weinberg	Weinberger Deutschland GmbH
00:50:C2:3F:D0:00/36	HARTMANN	HARTMANN software GbR
00:50:C2:3F:E0:00/36	HaiVisio	HaiVision Systems Inc
00:50:C2:3F:F0:00/36	CastIron	Cast Iron Systems
00:50:C2:40:00:00/36	SmartMot	SmartMotor AS
00:50:C2:40:10:00/36	Promess	Promess Incorporated
00:50:C2:40:20:00/36	NumeronS	Numeron Sp. z o.o.
00:50:C2:40:30:00/36	Rohde&Sc	Rohde&Schwarz Topex SA
00:50:C2:40:40:00/36	NanShanB	NanShanBridge Co.Ltd
00:50:C2:40:50:00/36	Guralp	Guralp Systems Limited
00:50:C2:40:60:00/36	CoreStre	CoreStreet, Ltd
00:50:C2:40:70:00/36	AIEEtude	AIE Etudes
00:50:C2:40:80:00/36	TERN	TERN, Inc.
00:50:C2:40:90:00/36	Ktec	Ktec Ltd
00:50:C2:40:A0:00/36	ContecSt	Contec Steuerungstechnik & Automation GmbH
00:50:C2:40:B0:00/36	CenterVO	Center VOSPI JSC
00:50:C2:40:C0:00/36	AppliedM	Applied Materials UK Ltd
00:50:C2:40:D0:00/36	AfonicsF	Afonics Fibreoptics Ltd
00:50:C2:40:E0:00/36	ads-tec	ads-tec GmbH
00:50:C2:40:F0:00/36	Bir	Bir,Inc.
00:50:C2:41:00:00/36	Grossenb	Grossenbacher Systeme AG
00:50:C2:41:10:00/36	Multimes	Multimessage Systems Ltd.
00:50:C2:41:20:00/36	TSBSolut	TSB Solutions Inc.
00:50:C2:41:30:00/36	Goodrich
00:50:C2:41:40:00/36	Talleres	Talleres de Escoriaza SA
00:50:C2:41:50:00/36	SensoTec	SensoTech GmbH
00:50:C2:41:60:00/36	SELCO	SELCO s.r.l.
00:50:C2:41:70:00/36	QT	QT systems ab
00:50:C2:41:80:00/36	Planea	Planea Oy
00:50:C2:41:90:00/36	Mecsel	Mecsel Oy
00:50:C2:41:A0:00/36	Bluewate	Bluewater Systems Ltd
00:50:C2:41:B0:00/36	LogiMSof	LogiM GmbH Software und Entwicklung
00:50:C2:41:C0:00/36	Infrasaf	Infrasafe, Inc.
00:50:C2:41:D0:00/36	Altronic	Altronic, Inc.
00:50:C2:41:E0:00/36	Videotek	Videotek Sistemas Eletronicos Ltda.
00:50:C2:41:F0:00/36	Avionica	Avionica, Inc
00:50:C2:42:00:00/36	Boundles	Boundless Technologies
00:50:C2:42:10:00/36	Efsys
00:50:C2:42:20:00/36	ads-tec	ads-tec GmbH
00:50:C2:42:30:00/36	Power-On	Power-One Inc.
00:50:C2:42:40:00/36	Metrolab	Metrolab Technology SA
00:50:C2:42:50:00/36	Pinnacle	Pinnacle Technology
00:50:C2:42:60:00/36	STOMSyst	STOM System
00:50:C2:42:70:00/36	ScheidtB	Scheidt & Bachmann GmbH
00:50:C2:42:80:00/36	Roxar	Roxar A/S
00:50:C2:42:90:00/36	Matthews	Matthews Australasia
00:50:C2:42:A0:00/36	DspDesig	Dsp Design
00:50:C2:42:B0:00/36	VlsipTec	Vlsip Technologies, Inc.
00:50:C2:42:C0:00/36	TrapezeS	Trapeze Software Group Inc
00:50:C2:42:D0:00/36	Argo-Tec	Argo-Tech
00:50:C2:42:E0:00/36	OelmannE	Oelmann Elektronik GmbH
00:50:C2:42:F0:00/36	Win4NET
00:50:C2:43:00:00/36	ArcomDig	Arcom Digital
00:50:C2:43:10:00/36	Octatron	Octatron, Inc.
00:50:C2:43:20:00/36	TopwayIn	Topway Industries Ltd.
00:50:C2:43:30:00/36	IdetechE	Idetech Europe S.A.
00:50:C2:43:40:00/36	Imperati	ImperativeNetworks
00:50:C2:43:50:00/36	AdatelTe	Adatel Telecomunicaciones S.A.
00:50:C2:43:60:00/36	Satellit	Satellite Services BV
00:50:C2:43:70:00/36	PowerWAN	PowerWAN, Inc
00:50:C2:43:80:00/36	TelecomP	Telecom Protection Technologies Limited
00:50:C2:43:90:00/36	PeletonP	Peleton Photonic Systems
00:50:C2:43:A0:00/36	ProDesig	ProDesign GmbH
00:50:C2:43:B0:00/36	A3Ip
00:50:C2:43:C0:00/36	Ducommun	Ducommun LaBarge Technologies, Inc
00:50:C2:43:D0:00/36	AnnArbor	Ann Arbor Sensor Systems LLC
00:50:C2:43:E0:00/36	Copperco	Coppercom
00:50:C2:43:F0:00/36	ARVOOIma	ARVOO Imaging Products BV
00:50:C2:44:00:00/36	Advanced	Advanced Modular Computers Ltd.
00:50:C2:44:10:00/36	SammiInf	Sammi Information Systems Co.,Ltd
00:50:C2:44:20:00/36	PicoComp	Pico Computing, Inc.
00:50:C2:44:30:00/36	Pickerin	Pickering Laboratories
00:50:C2:44:40:00/36	Offshore	Offshore Systems Ltd
00:50:C2:44:50:00/36	MICRONIC	MICRONIC s.r.o.
00:50:C2:44:60:00/36	MicroTec	Micro Technic A-S
00:50:C2:44:70:00/36	GrupoEpe	Grupo Epelsa S.L.
00:50:C2:44:80:00/36	Comtech	Comtech Systems Inc.
00:50:C2:44:90:00/36	BLEILEDA	BLEILE DATENTECHNIK GmbH
00:50:C2:44:A0:00/36	Elettron	Elettronica Santerno SpA
00:50:C2:44:B0:00/36	Solace	Solace Systems, Inc.
00:50:C2:44:C0:00/36	Computim	Computime Systems UK Ltd.
00:50:C2:44:D0:00/36	Electro-	Electro-Matic Products, Inc.
00:50:C2:44:E0:00/36	QQTechno	QQ Technology,Inc
00:50:C2:44:F0:00/36	kippdata	kippdata GmbH
00:50:C2:45:00:00/36	Enconair	Enconair Ecological Chambers Inc.
00:50:C2:45:10:00/36	HAMEG	HAMEG GmbH
00:50:C2:45:20:00/36	ScameSis	Scame Sistemi srl
00:50:C2:45:30:00/36	Erhardt+	Erhardt+Leimer GmbH
00:50:C2:45:40:00/36	Brivo	Brivo Systems, LLC
00:50:C2:45:50:00/36	GogoBA	Gogo BA
00:50:C2:45:60:00/36	DRDCValc	DRDC Valcartier
00:50:C2:45:70:00/36	Danbridg	Danbridge
00:50:C2:45:80:00/36	HRZdata	HRZ data GmbH
00:50:C2:45:90:00/36	PhytecMe	Phytec Messtechnik GmbH
00:50:C2:45:A0:00/36	Funkwerk	Funkwerk plettac electronic GmbH
00:50:C2:45:B0:00/36	MatraEle	Matra Electronique
00:50:C2:45:C0:00/36	DeisterE	Deister Electronic GmbH
00:50:C2:45:D0:00/36	DigitalE	Digital Engineering, Inc.
00:50:C2:45:E0:00/36	Hallibur	Halliburton - Sperry Drilling Service
00:50:C2:45:F0:00/36	T2CMarke	T2C Marketing AB
00:50:C2:46:00:00/36	Vitelnet
00:50:C2:46:10:00/36	Tattile	Tattile Srl
00:50:C2:46:20:00/36	CT	CT Company
00:50:C2:46:30:00/36	Codem	Codem Systems, Inc.
00:50:C2:46:40:00/36	XYTACsys	XYTAC system technologies
00:50:C2:46:50:00/36	PDTS	PDTS GmbH
00:50:C2:46:60:00/36	LONAP	LONAP Limited
00:50:C2:46:70:00/36	UnitedWe	United Western Technologies
00:50:C2:46:80:00/36	NetworkI	Network I/O
00:50:C2:46:90:00/36	BiPOMEle	BiPOM Electronics, Inc.
00:50:C2:46:A0:00/36	ISE	ISE GmbH
00:50:C2:46:B0:00/36	EASYTECH	EASYTECH GmbH
00:50:C2:46:C0:00/36	CAMCO	CAMCO GmbH
00:50:C2:46:D0:00/36	PaulSche	Paul Scherrer Institut (PSI)
00:50:C2:46:E0:00/36	AvenirTe	Avenir Technologies Inc.
00:50:C2:46:F0:00/36	Neurowar	Neuroware
00:50:C2:47:00:00/36	Cybectec	Cybectec inc.
00:50:C2:47:10:00/36	PixtreeT	Pixtree Technologies, inc.
00:50:C2:47:20:00/36	KOP	KOP Ltd
00:50:C2:47:30:00/36	SensusMe	Sensus Metering Systems Israel
00:50:C2:47:40:00/36	Venue1	Venue 1, Inc.
00:50:C2:47:50:00/36	ISEPOS	ISEPOS GmbH
00:50:C2:47:60:00/36	Ascon	Ascon S.p.a.
00:50:C2:47:70:00/36	SEVTidsy	SEV Tidsystem AB
00:50:C2:47:80:00/36	Metafix	Metafix Inc.
00:50:C2:47:90:00/36	Unlimite	Unlimited Bandwidth LLC
00:50:C2:47:A0:00/36	Efficien	Efficient Channel Coding
00:50:C2:47:B0:00/36	PitneyBo	Pitney Bowes, Inc
00:50:C2:47:C0:00/36	AUCONET	AUCONET GmbH
00:50:C2:47:D0:00/36	WIT	WIT Inc
00:50:C2:47:E0:00/36	EnergieU	Energie Umwelt Systemtechnik GmbH
00:50:C2:47:F0:00/36	BRIT	BRIT Inc.
00:50:C2:48:00:00/36	SELKOM	SELKOM GmbH
00:50:C2:48:10:00/36	Computer	Computer Sciences Corp
00:50:C2:48:20:00/36	PriamusS	Priamus System Technologies Ag
00:50:C2:48:30:00/36	Ses
00:50:C2:48:40:00/36	Kooltech	Kooltech LLC
00:50:C2:48:50:00/36	PhytecMe	Phytec Messtechnik GmbH
00:50:C2:48:60:00/36	Safegate	Safegate International AB
00:50:C2:48:70:00/36	Eridon	Eridon Corporation
00:50:C2:48:80:00/36	DaSistem	Da Sistemi Spa
